id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
209218,小粋なバイバイ,['indigo la End'],spotify:track:4HXx0ovcxi3jozdZTWq1oH,41,album,True,2019-10-09,['spotify:artist:26ZBeXl5Gqr3TAv2itmyCU'],['spotify:playlist:0wCJEqY9MqMQV2g1nCE5am']
74249,Promise,['Alexander Remus'],spotify:track:0cWeyqYo6AWwUX1UmBFMSp,0,compilation,True,2014-08-19,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:25nxm1QSzfIX4ZDcVQDgOO']
98762,Get on the Road,['Tired Pony'],spotify:track:3Es1vZxTydsGfYUmgTPcjJ,31,album,True,2010,['spotify:artist:69Q7zvYHGcTWZpZlLbY2oU'],['spotify:playlist:70g2uez7L1UavQ6jCuV5Ps']
173821,Feuer und Eisen,['Ost+Front'],spotify:track:51rIhQPHmFqjawFGq4nog8,0,album,True,2014-01-24,['spotify:artist:2eYQ3xCgZtpkVQNgXlpuRs'],['spotify:playlist:6jOJQfjV34kbtcvuW04AmW']
86218,Pancho and Lefty,['Merle Haggard'],spotify:track:2hckAvL66faAcR0Fk64hj6,58,album,True,1981,['spotify:artist:2ptmyXoL7poH6Zq62h1QT9'],"['spotify:playlist:0SCe87xOHEvG8JMWArbiZy', 'spotify:playlist:37i9dQZF1DZ06evO3v06CA', 'spotify:playlist:1oqIBTkb4qpj08RZjYloyx', 'spotify:playlist:4pVCg0udnpPhSBB9bCdokK', 'spotify:playlist:3UmFcuo9yqyqYqICJkTf1c', 'spotify:playlist:1eMg013gmqszs9XHI6SKRi', 'spotify:playlist:37i9dQZF1EIdxPNAHkLtC4', 'spotify:playlist:48anGdzWXfxx3ZL0Ezl8WZ', 'spotify:playlist:6G7ZJuBDKwjCrk9ftdu82D']"
253916,High Class Girl,['Joe Bonamassa'],spotify:track:6Oujy9FYBVt4SH3ZmiQ5uL,23,album,True,2020-10-23,['spotify:artist:2SNzxY1OsSCHBLVi77mpPQ'],['spotify:playlist:2TZuYykd7l4N0feEDiOsft']
57870,Right Here - original version,['Solo'],spotify:track:5a5jNHw9hSMBlON5LM83JO,36,album,True,2010-11-26,['spotify:artist:5E5QWi6shjVx5yOFa0t7Gx'],['spotify:playlist:3VfcQo2e6rbfc3NuurXe4B']
163653,Lonely,['Kidz Bop Kids'],spotify:track:2Pr4obublCnAFrec6Qq4lQ,27,album,True,2020-10-23,['spotify:artist:1Vvvx45Apu6dQqwuZQxtgW'],['spotify:playlist:1Tsa6hKcC2TIJ6ZcbsEhNx']
241362,That's Why,['Michael McDonald'],spotify:track:2nrZLLiiP2v6SOg185ZVMd,32,album,True,1982-08-03,['spotify:artist:24hJWbo98sH84tb0nkeaqy'],['spotify:playlist:2gzPI2Lxv9Apw5S4Z3CIy2']
32333,Path of Mystic Wolf,['Inner Power Oasis'],spotify:track:2eVDKNvrBIzMBIUlVDx1uW,1,album,True,2018-01-26,['spotify:artist:1AumbhWctokaBg5xU7yTDP'],['spotify:playlist:3DOHldgTwJNLMWBnxRTt0d']
264559,Ya No Quieres Tu Mi Amor,['Mazz'],spotify:track:5w1kVLQBDpt3swKNhtWqlr,18,album,True,1989-01-01,['spotify:artist:71L1Q7gkwA3lFldMfBuDSA'],['spotify:playlist:2aCruwR5jSGYksAfdr98nB']
225282,Straight Up,"[""Scott Bradlee's Postmodern Jukebox""]",spotify:track:7gKylTA49QFy8pbrfnYuvW,28,album,True,2015-01-13,['spotify:artist:5HYNPEO2NNBONQkp3Mvwvc'],"['spotify:playlist:1kZbSOJlWGLMKdhngvox7P', 'spotify:playlist:6wGDw9afsizZsPdJxIiPub']"
31179,To Lay Down Everything You've Built,['Dear Gravity'],spotify:track:4dKo4Rc5GNZTRpl3KqwAbN,15,single,True,2021-06-04,['spotify:artist:28MEj0HGdwvJYdbMAVpXU6'],['spotify:playlist:6JmgyHHy7mGB9FATmGy75r']
262233,Split My Tooth,['Jade Brodie'],spotify:track:61OUhTL7tM7N2TA7oR9IXc,13,single,True,2020-03-05,['spotify:artist:3QSw0m7HLcPrbCZG9j5nne'],['spotify:playlist:7glVFcpFgiAsLB7gvzeqIP']
198779,Cómo Dejarte,['Kike Pavón'],spotify:track:3UyqBs5XB58GJ1H98wruKN,0,single,True,2020-11-13,['spotify:artist:2TkDdk47FGnvxcjQGDdPd0'],['spotify:playlist:25WvFmR1fd7ovda6LDPCit']
41,Hard Times,['Duskus'],spotify:track:17cYLEGEvPzbtG5C1h8H3u,12,single,True,2021-07-30,['spotify:artist:59MDSNIYoOY0WRYuodzJPD'],['spotify:playlist:1JvcIFP3w2EqpkZFo8LPSg']
31372,Flex,['Playboi Carti'],spotify:track:2xyBvir9n474qfsOkxXMgx,68,album,True,2017-04-14,['spotify:artist:699OTQXzgjhIYAHMy9RyPD'],"['spotify:playlist:6vHhF33U28KaIZhWLXEci2', 'spotify:playlist:1fbkJyuu64XzMPRTGpLXXk', 'spotify:playlist:4YvuRPLF0pLyfPxw1i3JFU', 'spotify:playlist:7yhQZq5H1deW6ITZbyXLCl']"
223642,Girl from Ipanema,"['Antonín Dvořák', 'Emerson String Quartet', 'Menahem Pressler']",spotify:track:45TQxXR1IoppA5NO2qN43r,0,compilation,True,2016-04-29,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:6qDrM9UqxhM6tkOWTwmahX']
29144,"Symphony No. 1 in D Major ""Titan"": Ib. Immer sehr gemächlich","['Gustav Mahler', 'Leonard Bernstein']",spotify:track:36hXfI2ouvtbO2UoU7U6fI,15,album,True,1967,"['spotify:artist:2ANtgfhQkKpsW6EYSDqldz', 'spotify:artist:2LmyJyCF5V1eQyvHgJNbTn']",['spotify:playlist:43avXpESBC5Jc5XS7sGZyd']
240624,Transmission - 2020 Digital Remaster,['Joy Division'],spotify:track:1Bq65xKgu0kjSUMUlfWyPl,57,single,True,1979-10-07,['spotify:artist:432R46LaYsJZV2Gmc4jUV5'],['spotify:playlist:3W7g8WILOwEpwIeTjpj3JN']
156436,The Bells,['Ramin Djawadi'],spotify:track:09oEC9b2VasoCbeAruESjF,38,album,True,2019-05-19,['spotify:artist:1hCkSJcXREhrodeIHQdav8'],['spotify:playlist:37i9dQZF1DXcP2rXJJ61py']
178204,Still Love You,"['JAS1X', 'fuse.']",spotify:track:057SolKingTw6AEgBL7q9r,46,single,True,2020-04-10,"['spotify:artist:1gE67JBAV50qI94fX4nz3F', 'spotify:artist:7yLOR62W5h5j5Y4M8nHnAY']",['spotify:playlist:7o6pW6Fvnh1Umn3ogSGjLo']
162052,Colores en el Viento,['Join The Club'],spotify:track:2FXuv68BbDVxzZq1sUiHAh,45,compilation,True,1995-01-01,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],"['spotify:playlist:37i9dQZF1DWZrtMhzu7qoN', 'spotify:playlist:37i9dQZF1DX1X5WuBxE8Iy']"
257836,"Franklin's Tower - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78",['Grateful Dead'],spotify:track:0tyrv88txjpUOgoWjAcozF,25,album,True,2016-05-13,['spotify:artist:4TMHGUX5WI7OOm53PqSDAT'],['spotify:playlist:7obFHnLgRSCA15jrdKLkmH']
22877,Tak Ingin Usai,['Keisya Levronka'],spotify:track:1b0aDgrG775i4sPQgJGmkU,77,single,True,2022-05-13,['spotify:artist:4EiSzlOeMnJcp2U8ayCQ3a'],['spotify:playlist:7b61XywyQXPvHO2f6ijvBD']
113288,Cocaine,"[""Dreams We've Had""]",spotify:track:5WNDXcsnWSzWvQl7oPIEeT,22,album,True,2018-04-27,['spotify:artist:5LkgVE79AHNZN7kMukfJFv'],['spotify:playlist:0oD5aLzUQiIomu805F3xDH']
211599,Out Run,['Stream Juice'],spotify:track:24KYILSdwqf3h1P2gQpUPW,4,album,True,2021-08-31,['spotify:artist:1QAWj9ZyS3BfTs52HkGPvj'],['spotify:playlist:2GVpH12MqZ0qvCGNUSZPuc']
24127,A New Beginning,['Sub Zero Project'],spotify:track:0Z9J2O5kjOoZi53ZB8krgJ,45,single,True,2021-05-06,['spotify:artist:4f0OXMMSxr0r8Ztx6CdpAl'],['spotify:playlist:45jcYWnX05sI1TMVXj5VOZ']
105208,Pull Back the Bolt,['Minimal Man'],spotify:track:27QsiQIp9enYFoOfiAnvii,32,album,True,1985,['spotify:artist:29iJXysWQonD1HaWJGCD6e'],['spotify:playlist:3iC8vhGrOS9XvvWBz85jfF']
199834,Genes,['Jon Keith'],spotify:track:0nFeYMN51MWvGOQhenG4XN,35,single,True,2021-02-12,['spotify:artist:0PUc1lwaZpPJaMr0v4Gdvo'],['spotify:playlist:7Guy9jv2WOQApAsUHus4Cg']
205012,"Gurus of Peace (From ""Vande Mataram"")",['JJ Lawhorn'],spotify:track:411KJusmV4pWcp8Laam3vZ,14,compilation,True,2016-07-15,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:0USwGwasJVrHVN5Xkdhw0d']
12991,Older,['Sasha Alex Sloan'],spotify:track:52iLDrSoRtf9lcgFuLVfqE,70,single,True,2018-11-09,['spotify:artist:4xnihxcoXWK3UqryOSnbw5'],"['spotify:playlist:2h15L8oI9VhuRAiovl2BjO', 'spotify:playlist:55o5apqGPTcix2tq82ikhu', 'spotify:playlist:6bZZjVMaDsWcNJJt9onSeR', 'spotify:playlist:5rqG2djauIHZKDiiGFTmDu', 'spotify:playlist:54CePSdrndr5XrsNsTQ6cw']"
268180,Rood zwart,['Musical Cast Recording'],spotify:track:5ZuM1Jg7ZUbB4jCa6iE1xk,28,album,True,2008-01-01,['spotify:artist:2aOFhgNRFbz7CbjK4zLh4R'],['spotify:playlist:2dIar5cHKuQPKpqPfaR0v3']
257434,Naive Melody (This Must Be the Place) [Live],['Perpetual Groove'],spotify:track:2GZQdmE8HvruvMKKeGgY7L,35,album,True,2016-07-12,['spotify:artist:5Y5Qltdor4sw3O8NnFw5pO'],"['spotify:playlist:3MIz7GZVcB3tyPVXSvvZuT', 'spotify:playlist:4B37fAJeCHgZ1omWKcgDV8']"
105083,Rio,['Duran Duran'],spotify:track:2SEM1OHX0POc27jbphZEpW,48,compilation,True,1989-11-13,['spotify:artist:0lZoBs4Pzo7R89JM9lxwoT'],['spotify:playlist:0qIiReK0yLyEpYK6ie0xdt']
115572,The Spirit of Love,['Kato'],spotify:track:4j7zJMTRPEsoR5bwmYELZT,48,album,True,2021-06-01,['spotify:artist:3yTNaLgtCufxUYDsWa5MpA'],['spotify:playlist:3mk0iQrYwjRQJ6txNOTQsK']
272106,Los Dos Amigos,"['Los Cadetes De Linares', 'Homero Guerrero y Lupe Tijerina', 'Lupe Tijerina y Rosendo Cantu']",spotify:track:0uyv3AMPgus71YKJIwwA0W,68,album,True,2012-04-24,"['spotify:artist:1iIxNEvPPmdFIIP0tdpw6G', 'spotify:artist:029TNxYpdZWjCidyQjNmgE', 'spotify:artist:146jiLUXkDZahBdRQhwNHD']",['spotify:playlist:37i9dQZF1E4rpQ6cqAlnfB']
58947,Club Embrace - Intro,['Armin van Buuren'],spotify:track:7tUimGsdYa4YUkotUVrIlt,10,compilation,True,2016-10-21,['spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5'],['spotify:playlist:1jHoQEFPCudrA4GzpL4EUP']
21486,Monna Kanipinchavu,['Harris Jayaraj'],spotify:track:4rc1WGmRJ2CsHXTmrBu3gH,53,album,True,2008-10-31,['spotify:artist:29aw5YCdIw2FEXYyAJZI8l'],['spotify:playlist:64HtbxzTdTPRpff2BIBuIw']
83577,Burning,['The War On Drugs'],spotify:track:6pc6BNY6rFvdmf9O3PQizQ,0,album,True,2014-03-18,['spotify:artist:6g0mn3tzAds6aVeUYRsryU'],"['spotify:playlist:3MCprZIq3oP0QRM9zUHU9V', 'spotify:playlist:37i9dQZF1DWZq91oLsHZvy']"
