id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
952,Righteous Minds,['Joey Bada$$'],spotify:track:7dFGkZbmm6cVlI28bfMaWE,69,album,True,2012-06-12,['spotify:artist:2P5sC9cVZDToPxyomzF1UH'],"['spotify:playlist:3NoVkXpqiWoVnucCS332Bf', 'spotify:playlist:6edHBc6bwRLMqskhWN4yP2', 'spotify:playlist:7IpaymT7Jal939P6mxpG0P', 'spotify:playlist:4YvuRPLF0pLyfPxw1i3JFU', 'spotify:playlist:2PVTUoXJ7gUXNLjNlLOQ18', 'spotify:playlist:3UtPXqZpQWapDz9zJup2Xy']"
37605,If Only,['George Fenton'],spotify:track:24hLpDpezPW6MdE0Hc99vW,53,album,True,1999-03-09,['spotify:artist:0NdNx5JwLDvas2LsMVTSyQ'],['spotify:playlist:1OYGxpZ6Ds30w1WTw1tX6l']
165905,Penthouse Serenade (When We're Alone),['Erroll Garner'],spotify:track:6lRjAR7IXJVi4O5u6Ozdf5,0,album,True,2009-01-01,['spotify:artist:6C65D20ASusYqHGSIktfED'],"['spotify:playlist:1JioB9IDcqi9BcpJ9NL1LX', 'spotify:playlist:0GZGcv1CQMUfh7dgylg5Fq']"
132507,Autant En Emporete: Autant En Emporte,['Hans Neusidler'],spotify:track:71lOE0h0Aw14FZwMfbKoyK,2,album,True,1999-10-18,['spotify:artist:4lhT6toC31O61Gi74mAc09'],['spotify:playlist:7no0cFU1MGegtVgqBg3xIB']
93679,Go Bananas,['Little Big'],spotify:track:5Ec0oMpXOGuvtHtAwGkGmp,47,single,True,2019-11-14,['spotify:artist:0pnd3MP2rxAzljR9AqXUJB'],['spotify:playlist:17QgC1nXbRYriw6VZKUsEa']
268795,Redemption in Dub,['Moodymann'],spotify:track:5FRbESwpb7k4YkjQQpXL3d,0,compilation,True,2010-05-18,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:0PZanbby0yAH1ToS8jzi3Z']
85588,Sleepless Nights,"['AK', 'Direct']",spotify:track:1QAsfDzqpK4zMyqa8S2Koz,32,single,True,2016-11-09,"['spotify:artist:33Cf4O1KAVbtQa00scMi2A', 'spotify:artist:5eOyDcFvvdc7D7BD6gCdsi']",['spotify:playlist:1mnVcsXVDJwx8hwnmeHxTn']
204387,Sapagkat Ang Dios Ay Pag-Ibig,['Ami Suzuki'],spotify:track:3CaLsTJggstt7xfCaVdCLw,0,compilation,True,1979,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:3AcEyTMXlfzRwD7BostRAz']
191140,The Christmas Waltz,"['Beegie Adair', 'David Davidson']",spotify:track:4bZCrsmsdqbUi8gCZufBO6,19,album,True,2015-10-12,"['spotify:artist:5gYIhpLwCYoxh3V8KANZpI', 'spotify:artist:7aKDD7HslHdPuVECyvMqcI']",['spotify:playlist:2ztx5HUJmGfeGGGwEnJUJb']
263198,Sundream,['RÜFÜS DU SOL'],spotify:track:0PHWXLXOQXGlyUGq7woVFZ,60,album,True,2013,['spotify:artist:5Pb27ujIyYb33zBqVysBkj'],['spotify:playlist:0ea8BtJBTgllhyuEX9RQ8f']
112344,The Mixed Tape,"[""Jack's Mannequin""]",spotify:track:18WGOPbU4FN3VY12BWKb2q,42,album,True,2005-08-23,['spotify:artist:42aeGx2I3uXINpGqC8L0LD'],['spotify:playlist:39sVxPTg7BKwrf2MfgrtcD']
88043,I'm A Rocker,['Chuck Berry'],spotify:track:0x61kbCcvC8WqSihmQMgdA,38,album,True,1970-01-01,['spotify:artist:293zczrfYafIItmnmM3coR'],"['spotify:playlist:2AguYoBHvhW8IEjbzUaJRh', 'spotify:playlist:0dUblHWeMAY4euK3cDX3st', 'spotify:playlist:1j8d329ikLrAGt5eEoIdo3']"
